ID,output
TEST_0011,"별 반 개도 아까운 숙소에 머무를 시간이 아까워 그냥 썼습니다만, 가장 폐업해야 마땅한 곳입니다.  침구: 매트리스는 딱딱하고, 움직일 때마다 삐걱소리가 남. 침구류는 다 숙박업소 여기저기에서 가져다 쓴 것을 쓰며, 쿰쿰한 냄새도 심하고 당연히 새것도 아니고, 수도 막히고 아예 않은 형편없는 이불입니다. 벽은 곰팡이인지 물이 찬 건지 그냥 시트 벽에 더럽습니다.  욕실: 벽은 물론 쓰레기통에까지 곰팡이가 슬어 있습니다. 샴푸와 바디워시는 이상한 중국거 세트 통에 기분도 없이 담겨져 있어서 냄새로 구분해야 합니다. 변기도 깨져 있습니다.  프론트: 왜 있는지 모르겠습니다. 수건 받으려고 전화 수십 통 해도 안 받고 결제까지 미루는 것 같으며, 조선족 직원 말투는 이해하겠는데, 고객을 이렇게 대놓고 무안하게 하고 불쾌하게 하다니..."
TEST_0012,"컴퓨터룸에 묵었는데, 스마트 TV에 모션 베드를 이용해서 편히 쉬고 선택한 거잖아요? 그런데 계속 끊겨요. 특히 사람들이 많이 이용하는 시간대(오후 7시 이후)에는 뭘 볼 수가 없을 지경이에요. (사진은 영상이 계속 끊겨서 로딩이 돌고 있는 중) 아래에 후기 쓰신 분 말대로 공기가 부족한 거라면 개선해야 하는 건 아닌가 싶네요. 다시 올 생각은 없어요. (+수압도 약해요)"
TEST_0013,새로 생긴 곳이라 시설도 깔끔하고 바다도 뷰~~ 맛집이었습니다. 조식도 맛있고 깔끔했습니다.
TEST_0014,"정말 깔끔하고 조용하고, 편안하고 좋네요. 자주 이용해서 착가 분들 넘 친절하고 편해서 좋아요."
TEST_0015,"창문으로 바다가 보인다. 우리가 묵은 방은 816호, 3인실에서 2박. 2인용/1인용 침대가 하나씩 있다. 구조가 특이하다. 계단도 실내도 그렇다. 원한다면 샤워를 하면서 객실을 통해 바다를 감상하는 게 가능하다. ᄏ 작년 가을에 광주 동구의 워터 파크 호텔에 묵었었는데, 객실 구조가 동일하다. 머리맡에 전기 콘센트가 없다. 전화기 충전해야 하는데. ;; 나중에 찾은 바, 연장선(extension cord)이 사물함에 있다. ᄏ 8월 첫 주말 최고 극성수기에 방문했다. 주차 공간이 모자라서 인근 주차장과 협소한 모양이다. 전체적인 느낌이 깔끔하다. 담당 근무자가 친절하다. 둘째 날 나가다가 복도에서 맞추었을 때, 필요하신 거 있냐고 이런 저런 챙겨준다. 잘 묵었다. 다시 재방문하고 싶은 호텔이다."
TEST_0016,파티룸 괜찮았어요! 고데기랑 드라이기도 있어서 좋았어요.
TEST_0017,생각했던 것보다 내부가 깨끗하고 좋았습니다. 특히 샤워실이요. 최근에 리모델링을 했다고 하더라고요.
TEST_0018,세상에 이런 최악의 여관은 처음입니다... 따뜻한 물이 나오지 않고... 난방이 되지 않으며... 소등도 안 되어서 불을 끌 때는 기를 다시 넣었다 뺐습니다ᅲᅲ 불친절하기도 정말 심합니다... 제발 거르세요~
TEST_0019,"캠장님은 이렇게 친절하시고, 샤워실 뜨거운 물도 잘 나오고, 캠핑장 가까이에 관광지도, 시장도, 심지어 하나로마트까지 완벽^^ 하지만 캠핑장 가까이에 죽사가 있는지, 바람 따라 냄새가 나고 머리가 지끈지끈하다는~~"
TEST_0020,너무너무 좋아요. 글램핑 내부 컨디션은 베스트는 아니었지만 바닥 난방이랑 전기장판이 너무 잘 되어있었어요. 이런 데 오면서 화장실이나 주방 컨디션 좋기를 바라는 건 욕심이라고 생각해요. ᄒᄒ 진짜 숲속에 있는 느낌으로 지내다 와서 너무 만족합니다. 사장님은 무뚝뚝하신 것 같은데 은근히 이것저것 잘 챙겨주시고 좋았어요. ᄏᄏᄏ 뷰도 잘 피워주셨고 잠자리 살짝 말려서 너무 잘 잤더라고요! 힐링하고 싶을 때 강추해요. 오리온 객실을 사용했습니다.^^ 아쉬운 점 없어요! 다만 매점에서 파는 건 아니려나 그래도 조금 비싸니까..ᄒ 꼭 근처 마트에서 필요한 거 더 사시길~ 그리고 센터에서 별 꼭 보세요~~!! 재방문의사 있습니다.
TEST_0021,"2주 동안 엘리베이터 점점이 10일이었고, 엘리베이터를 5분 기다리기도 최악이에요."
TEST_0022,"부산 여행 계획을 잡고 여기저기 숙소 선택을 하다가 카카오맵 후기가 좋길래 후기가 좋길래 택한 곳이에요. 숙소가 청결하기 각별히 바라며 이용했는데, 기대 이상으로 깨끗하고 침대도 냄새가 전혀 나지 않고 폭신폭신해요. 뷰도 좋고, 카운터 남자 직원 분이 왕친절하고 다음 날 조식은 왜 이렇게 맛있었는지 부산 여행을 생애 처음 하면서 좋은 기억으로 남을 것 같아요. 잘 쉬고 왔어요. 감사합니다. 다음에 재방문의사가 있습니다."
TEST_0023,"광안리, 해운대, 서면 등 좋은 호텔이 많지만 여기를 매년 방문하는 이유는 해변을 보고 있노라면 꼭 90년대의 해운대를 보는 듯한 느낌이 들어서입니다. 작지만 오션뷰, 마운틴뷰, 하버뷰 등 신경 쓰지 않아도 되는 모든 룸이 오션뷰의 강점이 있습니다. 관리자님께서 이 곳을 보실지 모르겠지만 한 가지 아쉬움이 남는 이번 여행입니다. 여기의 조식은 또 하나의 강점이 있습니다. (딱 필요한 만큼 있을 것만 있다. 심지어 컵라면까지.. ᄒᄒ) 어떤 여성분께서 접시에 한가득 담더니 엘리베이터를 타려고 하는 것을 보고 직원이 제지를 하러 나왔습니다. 몇 마디 나누더니 그냥 생~ 하고 엘리베이터를 타고 올라가 버립니다. 직원은 어이없다는 듯 더 이상의 제재를 하지 않는 듯합니다. 호텔을 좀 더 신경 써야 할 듯합니다."
TEST_0024,직원분들의 친절도나 룸 컨디션 등 여러 가지 아쉬웠어요. 장점은 해운대 바로 앞이라는 점 정도인 듯해요.
TEST_0025,"깨끗하고 풍경이 아주 좋았어요. 기본 양념도 있어서 살짝에서 회 떠다가 물회, 회초밥도 만들어서 먹었어요."
TEST_0026,"수영장 물 관리 안 하시는 듯요. 에 먼지 둥둥 벌레 둥둥 떠다니고 바베큐장 안에 되지 비릿내가 나서 구역질이 나오더라고요. 환풍기에 벌레 두 마리랑 먼지 덩어리에 뭉쳐서 틀어놔도 환기가 안 되고, 천장에 곰팡이 ᅮᅮ 화장실 실리콘에도 보이는데 곰팡이... 바베큐 신청했는데 돼지 목살에서 누린내가 ᅮᅮᅮᅮ 먹다가 속 안 좋아져서 고기 다 버렸어요. 소세지... 살다 살다 이렇게 퍼붓고 맛없는 소세지 처음이네요. 같이 나온 반찬은 스탠다드 원형 식판에 김치랑 그냥 식판 반찬 골고루 담겨져 있었는데 언제 바뀌었는지도 모를 반찬.... 시리얼 따로로 떠서 그대로 주시고  그리고 물놀이하고 나왔는데 저녁에 비누가 왜 이렇게 ᅮ 간지럽던지. 내부는 그나마 깨끗한데 냉장고는 미지근하고.... 생수는 그나마 괜찮은데 냉온수는 미지근해서 먹기 싫더라고요. 직원분들은 친절하지만..."
TEST_0027,서비스 응대 다 좋았음.. 아침에 무료 조식도
TEST_0028,"깔끔~ 주인 친절~ 주차장 양호, 시내 인접~ ^^"
TEST_0029,"장점: 잠옷 제공, 욕조 있음, 조식 제공, 청소 상태 상의 수준   단점: 유료 회원제 가입 권은, 유료 회원이 아니면 4시 체크인. 외국인들이 많아서 그런지 자기들끼리 고객을 지시할 때 ""이 사람"", ""저 사람""으로 부르는 건 그나마 몸을 대우해 준 거고, ""저 여자"", ""저 남자"", ""야가 그 여자 맞잖아? 아침에 그 남자 아, 진짜ᄏᄏᄏ"" 이런 식으로 강압적으로 손님이 눈앞에 있는 프론트 데스크에 서서 말을 횡설수설하더라고요. 그게 잘못인지 모르는 게 더 기분... 그리고 프론트 안쪽에서 좋아요ᄂ나 큰 목소리로 떠들었어요ᄒᄒ 처음엔 중국인들이 로비에서 이렇게 예의 없이 웃고 떠드나? 했는데 그게 우리 호텔 직원 친구들이었더라구요ᄒᄒ 나중에 물어보니 우리도 호텔 직원 친구들이라고 하면서 반말을 하더라고요. 웃기는 게 원래 말투가 그래요ᄒᄒ 말투가 좀 기분이 나빴어요."
TEST_0030,최고의 휴가 잘 보냈습니다. ᄒᄒ 로봇 귀여워.
TEST_0031,아직은 부대시설이 들어와 있지 않아 시설 대비 가격이 저렴합니다. 현대점에서 가성비는 좋은데 내년에는 시설이 들어와 가격이 올라갈 것 같습니다. 그 외 특이사항은 수건 교체 및 물 보충을 문자로 요청 조치를 해서 진행하고 있습니다. 뭔가 저렴한 시설 유지비를 위해 프론트에서 특급 운영을 하는 중입니다.
TEST_0032,"한국에 신라스테이 호텔 체인점이 있는 줄 알았으면 진작에 이용했을 텐데, 늦게 알게 되어 아쉬움이 남습니다.   (장점)  - 접근성이 나쁘지 않습니다. (부산역에서 버스 15분)  - 로비가 3층이라 호텔 출입 시 프라이빗 보장이 됩니다.  - 피로를 풀 수 있는 대욕탕과 피트니스 센터가 지하 1층에 있습니다.  - 직원분들이 매우 친절합니다.  - 방 청소 상태나 룸 컨디션이 일본 지점에 비해 훌륭합니다.  - 호텔 내부가 전체적으로 조용한 분위기입니다.  - 1층에 카페 체인점과 편의점이 있습니다.  - 빠른 체크인 가능(14시부터)   (단점)  - 통유리라서 외부 방음이 잘 안 됩니다. (차 경적 소리 등)  - 대욕탕은 유료 이용이 가능합니다."
TEST_0033,신라스테이 설악산 오픈 축하드립니다!!~
TEST_0034,"4층에 객실인데 뷰가 정말 좋습니다. 차가 나서 혼자 1박 2일 쉬러 갔었는데, 저녁에 도착해서 어디 안 돌아다녀도 될 만큼 좋네요. 해가 지고 나면 야경도 좋고, 침대에 누워서도 파도 소리가 들려서 최근 몇 달 만에 정말 푹 잤습니다. 아침에 해가 뜨면서 알람 없이도 자동으로 기상이 되는데 기분이 너무 좋았습니다. 위치도 속초 오지에 있어서 여기저기 다니기도 사실 좋은 위치예요. 또 가고 싶은 곳~"
TEST_0035,절대! 다시는 가고 싶지 않음!
TEST_0036,평이 좋은 데는 다 이유가 있네요. 친절하고 깨끗했습니다. 대만족이었습니다^^
TEST_0037,뷰가 정말 예뻤어요!!
TEST_0038,교육이 있어 방문했습니다. 식사 제공이 되는 호텔 내부 식당에서 직원분들이 친절하다는 느낌이 없어서 아쉬웠습니다. 정신없이 부산스러웠습니다.
TEST_0039,바다 앞이라 좋았고 객실도 깔끔했어요. 그런데 프론트 남직원분 발음이 너무 안 좋아서 계속 다시 물어봐야 했어요 ᅲᅲᅲ
TEST_0040,"서비스도 너무 좋고, 다들 친절하고 방이 어두운 것 빼곤 좋았어요. 크리스마스 트리도 로비에 너무 예뻐요."
TEST_0041,뷰도 청결도 최고였습니다!!!
TEST_0042,직원분들이 친절해서 좋았음.
TEST_0043,최고급 호텔은 아니지만 바다가 가까워서 좋았고 사장님 내외가 너무 친절하셨어요 
TEST_0044,공기 맑은 날 외부 차단된 실내 수영장.. 따뜻한 바닥. 세 개의 다른 온도로 유지되는 자쿠지가 좋아요.
TEST_0045,"너무 좋음. 시설도 깨끗하고 침구도 깨끗해서 만족, 대만족이었습니다!! 다음 여행 숙박도 미리 예약하고 여행 와야겠어요."
TEST_0046,"시설이랑 시설에 있어서는 흠잡을 만한 곳이 없고, 직원분들도 너무 친절해서 기분이 절로 좋아지는 여행이었습니다. 거기다 뷰는 화룡점정이었네요. 그런데 한 가지 거리들이 점은 욕조에 있는데, 사용 후기가 너무 안타까워서 꼭 말씀드리고 싶네요. 요즘 감성에 미친 뷰 앞에 예쁜 욕조지만, 실용성은 별로 아니, 최악이었어요. 사용 중 욕조가 커서 반신욕할 때 허리가 삐걱거리는데, 손잡이가 없어서 욕조 양옆을 카트레일에 끼고 있다가 발이 끝에 안 닿으니 미끄러지면서 발이 살짝 꺾였는데, 구멍이 뚫린지 밤에 잘 때 아파서 잠을 설쳤습니다. 젊은 사람들은 못 느낄수도 있지만, 이 시설을 연세 드신 분들도 사용할 수 있을 테니 참고하셔서 사용법을 숙지하시길 바랍니다."
TEST_0047,"웰컴 티와 기본 캡슐 커피 향과 맛이 좋았고, 경치가 좋았다. 라운지 분위기도 좋았고 기본 제공되는 음료 및 디저트가 맛있었습니다. 오후 칵테일 파티도 즐거운 경험이었고, 사우나 및 헬스장과 수영장도 즐기기 좋은 곳이다. 특히 사우나 기본 제공되는 어메니티 향이 매우 좋았음."
TEST_0048,"완전 신축! 완전 새것!의 느낌은 아니지만 리모델링이 되어 오래된 연식이 크게 느껴지지 않았어요. 대리석 바닥과 산뜻한 감성, 오션뷰와 만나니 너 감성적 "
TEST_0049,시설이 깨끗하고 침구류도 청결했습니다. 카운터 직원분이 친절합니다ᄒᄒ
TEST_0050,"글램핑장 바로 옆 민가에서 새벽 6시 전부터 공사 소리 소리를 내기 시작해서 잠이 다 깼습니다. 가서 아침 일찍 일어나니 곤란하다고 말씀드렸더니 알겠다고 하더군요. 그런데 글램핑장에 놀러 온 사람들도 밤 12시까지 시끄럽게 술 마시고 떠드는데, 그러면 되겠냐는 말도 들었습니다. 귀찮게요ᅲ 속초시 관광과나 환경과에 이상 소음으로 민원을 내셔야 하는 것 아닌지... 가격이 저렴한 이유가 있습니다. 글램핑 텐트가 아주 낡았고 아주 불편하지 않을 만큼만 청소, 관리됩니다. 주의사항에는 10시부터는 고성방가를 제재해달라고 써있지만, 그때가 술 취한 토요일이 제일 밤에 불은 다이고 12시 넘어서도 신발 노래 부르는 소리가 들립니다. 관리가 잘 되는 곳인지 의문입니다."
TEST_0051,"여행에 편안함을 주는 숙박 장소로 매우 만족했습니다. 시설은 깨끗하게 정리되어 있으며 객실에서 보는 전망도 아주 좋았고, 일하시는 분들이 항상 웃는 얼굴로 편안하게 대해주어 여행인 매우 즐거웠습니다. 가성비 최고입니다."
TEST_0052,포근하니 쾌적하게 룸 컨디션 맘에 들어요~
TEST_0053,"엄청 오래된 모텔입니다. 하지만 뷰가 미쳤고, 온수가 잘 나와서 좋았어요."
TEST_0054,"해운대 바로 앞이라 위치가 깡패. 객실은 깔끔하고 괜찮지만, 루프탑 수영장은 유료(3만원)이며 기타 이용할 만한 부대시설이 없어서 객실만 이용하기에는 성수기엔 다소 비싼 느낌."
TEST_0055,오션뷰 디럭스룸은 저층 저렇게 노출된 벽이 시야에 보입니다. 호텔 측 담당자분은 말씀으로는 오션뷰는 맞으니 제발 옆에 보시는 안 했다고 합니다. 예약 주의하세요(안내 문자를 입실 하루 전에 보낸 문자들이니 꼼꼼하게 주의사항을 읽어보세요).
TEST_0056,뷰 맛집... 내 집이면 좋겠어요..ᅮᅮ
TEST_0057,"이 호텔 처음 짐을 다부터 와봤고, 최근에는 해외 친구들이나 지인이 오면 묵게 하고 소개해 주고 방 잡아주고 하는 등 가성비 좋은 호텔로 이곳을 인식하고 있었다. 올해는 파크룸도 3번~4번 정도 써보고... 단, 아쉬운 건 프론트 응대가 점점 안 좋아진다. 바람이 많은 날 엘리베이터가 쿵쿵거리길래 말했더니 남직원은 알아본다고 하는데 여직원은 윤냔을 턴다는 식으로 말하는 걸 들었다. 주로 고객 응대도 앉아서 하고... 지난달에는 체크인하고 새벽에 들어왔는데 집에 가는 친구 한 명 옆에 있는데 숙박객인지 아닌지 묻지도 않고 추가 요금 내라고 하고... 예정보다 일찍 도착해 1시간 30분 정도 early check-in 하려고 했는데 3시라고 하기에 그래도 조금 이른 시간이라 생각하고 예약했는데 나중에 체크아웃할 때 보니 이미 다 차 있는 거 아니냐고 해서 알겠다고 했더니 알겠다고 하고 끝."
TEST_0058,남산 뷰도 좋고 호텔은 좋으나 주변에 먹거리와 놀거리가 없이 애매합니다. 대실 기본 요금을 내고 동대입구로 가야 합니다. 조식은 만족스럽고 생선이 살짝 구워도 맛있습니다.
TEST_0059,"뷰 맛집, 광안대교 뷰 최고!!!! 또 오고 싶어요."
TEST_0060,안 청결함!! 화장실 바닥에 머리카락이랑 털이 있었음. 누군가 놓고 간 티슈지도 발견. 물론 잘 안 보이는 곳이긴 했지만 전체적으로 화도 안 나는 거 아님? 특히 다리라니.... 청소도 제대로 안 돼 있는 것 보니 밥 맛이 뚝 떨어짐. 침구나 베개 푹신 정도는 아주 만족함.
TEST_0061,"너무 예쁘고 분위기가 최고예요. 처음부터 실내화 신고 들어가는 것도 깨끗하고 좋은 것 같습니다! 루프탑 가봤는데, 루프탑도 너무 좋았어요ᅲ 스파는 추워서 못했지만 다음번에 다시 오면 꼭 해보려고 합니다. 호텔원 최고입니다."
TEST_0062,시내 중심에 있어 바닷가에 있는 곳보다는 저렴합니다. 겉모습도 깔끔하고 객실 내부도 깔끔하니 좋아요..
TEST_0063,"해운대역 바로 앞이라 위치도 좋고, 전용 주차장도 규모가 커서 주차하기도 편합니다. 6층이 로비여서 체크인, 아웃 시 로비층을 필요하게 거의 필요가 없습니다. 5층은 레스토랑 겸 카페인 객차 서비스도 그렇고 나름 정성을 들인 수준입니다. 룸 컨디션도 예전처럼 준수하며 전체적으로 조용한 분위기에 방음도 잘 되어 있어서 휴식하기에 좋습니다. 주 이용객들이 2~3인 이하라 가족 단위 숙박자들 때문에 시끄럽지 않은 점이 마음에 들었네요. 고층 배정에 고속 엘리베이터 이용하는데 시끄럽거나 느리다는 등 크게 불편함은 없었습니다. 엘리베이터는 총 4대입니다. 이건 개인 차이라고 봅니다. 사방으로 5분 거리에 해수욕장, 이마트, 술집 거리, 음식점들이 즐비합니다. 편의점들은 걸어서 5분 거리에 있습니다."
TEST_0064,"부산 방문 때마다 이용합니다. 매일 청소도 해주시고, 물이랑 수건도 많이 챙겨 주십니다. 특히 방이 넓어 진짜 좋아요ᄒᄒ 남포동 근처랑 버스 거리, 깡통시장, 국제시장 도보로 가능합니다. 남포역 7번 출구 바로 앞으로 친절 타고 다니기도 좋습니다~~"
TEST_0065,"호텔의 시작은 미소 으샤 으샤로 시작인데, 친절하신 미소에  저희가 묵은 방은 14층이었는데요, 들어가자마자 탄성을 지르며 ᄒᄒᄒᄒ 에스컬레이터인 줄 몰랐어요! 아침 해를 보실 수 있을 것 같아요. 뷰 맛집  침구는 포근했고, 침대에서 5세, 7세, 엄청 세 명이서 잤는데 편하게 잘 잤어요. (제가 침구는 작은 편이지만 충분히 편하게 잘 정도였어요.) 앞은 문이 있는 방에서 침구를 깔고 잤는데 시원하고 편하게 숙면했어요! 복층은 아이들이 비밀 공간처럼 놀 수도 있었구요! 특히 저는 테라스에서 풍경을 볼 수 있어 너무 좋았어요. 조식 공간은 따뜻한 분위기, 딱 필요한 메뉴들로 맛도 좋았구요. 특히 레스토랑 치즈, 버터, 사직구 빵 정말 맛있어요! ^^ 재방문 의사 100% 입니다."
TEST_0066,위치가 아주 좋고 서비스가 좋습니다. 엘리베이터가 아쉬움...
TEST_0067,"일단 예약 시 표시된 가격이 54,000원이라 예약 진행 중에 130,000원으로 바뀌어서 기분이 안 좋았으나 방 구하기가 귀찮아서 그냥 결제했습니다. 803호 4인 예약했는데 방에 추가 이불을 안 갖다 주었습니다. 카운터에 가서 얘기하고 전화하니 그제서야 갖다 주었습니다. 화장실, 욕실에 문이 없는 집은 처음 봤습니다. 문이 없는 건 상관없는데 변기 쪽에서 발냄새 같은 고약한 냄새가 난다고 해도 자기는 안 난다고 하면서 바꿔줄 남은 방도 없다고 했습니다. 조식은 한식은 없다고 하며 무조건 양식(시리얼, 빵, 바나나 반 조각)으로 줍니다. 와이파이는 왜 속도가 느린지 모르겠습니다. 네이버 홈 화면의 경을 약 1.5초 이상 겁니다. 그냥 핫스팟으로 잡아주면 좋을 텐데..."
TEST_0068,"가성비 최고, 그냥.. 주변에 시설이 많은 게 장점"
TEST_0069,센텀팰리스에 갔는데 괜찮았어요. 묵는 것 자체는 별 문제 없었으나 큰 짐을 둘 데가 없었어요. 짐 맡길 때 샤워실 찾기가 힘든 게 아쉬워요.
TEST_0070,"방도 좁고 답답하며, 쉬면서도 좁은데 사람이 너무 많아 대충 목욕탕 같고.. 가격에 비해 절대 평가된 호텔인 것 같아요."
TEST_0071,"사장님, 번창하세요. 요리, 숙소, 서비스 모든 게 완벽했어요."
TEST_0072,좋아요. 여럿이 놀러 가면 딱이에요~
TEST_0073,다시 가고 싶은 호텔 위치도 최고
TEST_0074,"스탠다드 더블로 1박 했는데 다시는 여기에 가지 않을 것입니다. 서울 여행 한 달 전에 후기 여러 곳에서 사봤는데 이 난리라서 매우 상심할 정도로 안 좋습니다. 아무리 싸게 나온다 해도 절대 안 갈 것입니다. 문 열자마자 화장실이 보이길래 열었는데 파리내? 구린내? 음식물 쓰레기 버리는 곳에 남는 냄새가 더 나으려나 냄새가 났고요. 그 이전에 카드키 받치고 간 안에 데스크에서 걸어준 열쇠로만 된 종이에 사인하라는 거 참 기분 나빴습니다. 여기 한국이고, 나 한국인데 영어로 된 종이에 사인하라고 했는데 화장실이 구역질이 나올 정도로 심해서 이렇게 씁니다. 이런 후기 비교적 좋게 써주는 편인데 참 대단하네요."
TEST_0075,"지하철 역에서 올라오니 바로 앞이었어요. DDP까지 몇 발짝만 가면 되고, 걸어서 광장시장까지도 15분 정도 위치도 너무 좋고 시설도 깨끗해요. 직원분들도 친절하시네요. 호텔을 잘 골라서 딸아이한테 멋진 엄마가 되었어요. 큰 전신 거울이 있던데 거울이랑 창문 앞에서 사진을 엄청 찍더라고요."
TEST_0076,스테이크 먹었는데 맛이 최고예요. 디저트도 굿 
TEST_0077,가슴이 뻥 뚫릴 정도의 넓은 바다 바다가 안에 들어오는 전망이 너무나 예뻤어요~~~ 생각보다 방도 크고 좋았네요.
TEST_0078,"가족들과 부산역 일대 맛집 투어를 했는데 위치가 좋고 조식을 주셔서 너무 좋았어요~^^ 짱이라는 '신박언' 진짜 맛집 소개 공연 강추, 포항 태지국밥, 조선 해갈국밥, 짬뽕 밀면, 이재모 피자 등 다시 가고 싶네요ᄒ"
TEST_0079,환상적인 뷰 말고는 표현할 수 없는 뷰를 자랑하는 곳이라 결혼 기념일마다 가고 싶은 그런 곳입니다. 너무너무 만족해요. 로비부터 접근도 좋아요.
TEST_0080,"접근성도 좋고, 깨끗하네요."
TEST_0081,"위치, 시설, 조식까지 매우 만족~!! 수영장이 작긴 하나 물도 따뜻해서 실외 수영장 굿 "
TEST_0082,"집안 일로 자주 횡성에 가는데, 그 동안 불편한 숙소가 없어 늘 당일 상황하던 때에 묘하게 제대로 된 숙소가 생각 난다. 본래 그 자리에 있던 콘도미니엄을 한층 업그레이드하여 모던한 호텔급으로 재설정하였으며, 누구에게 소개해도 부끄러울 않다. 우 중심이라는 위치, 인테리어, 대형 TV와 집기들, 어메니티 등 모든 면이 만족스러운데다 이전에 숙박 후 소소한 컴플레인을 했을 때 달라지는(아마 사장님인 듯) 태도에서 진정성을 느낄 수 있어 더욱 좋았다. 횡성 일대에서 단연 탑. 가성비 최고. 참고로 나는 양고기와 불고기 레스토랑인데, 델리리스호텔로 예약을 했다(알바가 아니라는 듯)."
TEST_0083,여러 호텔을 가봤지만 글루호텔만큼 가성비가 괜찮았던 곳은 손에 꼽는 것 같네요. 컨셉도 다른 호텔과 달라서 재밌게 묵다 왔어요. 뷰가 진짜 예뻐요.
TEST_0084,"1호 라인, 엘리베이터 옆 방 받으시면 이용하시다가 정신병원 걸릴 수도 있어요 ᄏᄏ 참고하세요~~! 저는 801호를 이용하고, 이용 시간 끝까지 안 채우고 나왔어요. 나오는 길에 키를 반납하면서 엘리베이터 옆 방 이용하는 사람들에게 컴플레인이 안 걸렸냐고 하니 4, 5층에서는 컴플레인이 계속 걸렸으나 8층은 컴플레인이 거의 없었다고 말하더라고요. 그럴 리가 절대 없다 생각했는데, 엘리베이터가 11층인가, 암튼 고층까지 있는 건물인데 어떻게 4, 5층만 컴플레인이 걸리냐고요..? 거기 운영하시는 분이나 직원분이나 한 번 들어가서 한 시간 동안 있어봤으면 좋겠네요. 건물의 나머지는 소리 계속 나요. 다음 번에 이용하시게 되면 방을 어디고 저적고 해들인지 모를 사람들한테 피해를 안 줘야 겠어요."
